Strategy,Total Revenue,Avg Fare,Std Fare,Min Fare,Max Fare,MAE vs Actual,Revenue Uplift vs Fixed
Fixed,5333951.7455648,106.679034911296,85.32615882937144,49.8491608,967.1729607999999,78.654785889312,0.0
Simple Surge,7446033.5138132,148.92067027626402,92.76718119815766,49.8491608,1080.32963584,120.87975244778082,39.596941798444355
Rule-Based Dynamic,11766461.7455648,235.329234911296,82.85092046511816,71.3941272,1053.6967863999998,207.28163867372803,120.59557916602179
ML Dynamic,1402590.0818195343,28.051801636390685,20.681626270852355,9.555693626403809,341.0284423828125,3.037474930773926,-73.70448499115514
