MAE,RMSE,R2,MAPE,fold,Model
3.59393187180463,7.202439476357403,0.883542302185893,12.307272273061688,1,XGBoost
3.5455632126976457,6.87747740585077,0.8975517259455411,12.311952947796618,2,XGBoost
3.5472279832907283,6.736306344705543,0.8978811573741432,12.494750045997712,3,XGBoost
3.5293514340389476,6.79593748003981,0.901486860649999,12.291950731965645,4,XGBoost
3.5665615554630055,6.745257809921455,0.902739094756041,12.355576398846265,5,XGBoost
3.623979587461174,6.890198250649419,0.8934208133843529,12.749865708073685,1,Random Forest
3.580514409570471,6.659005055088534,0.9039571606468654,12.77027390755805,2,Random Forest
3.6005073541869823,6.567025065017528,0.9029490985966395,12.963061506181134,3,Random Forest
3.5875779308981266,6.716031033324231,0.9037898708038056,12.839555737638882,4,Random Forest
3.615441606754783,6.435280689338748,0.9114729098720445,12.875675511564966,5,Random Forest
